TIME,CHAN1,CHAN2
-0.1187,9.60e-01,4.00e+00
-0.1185,-2.40e+00,2.20e+00
-0.1183,-3.12e+00,2.20e+00
-0.1181,-1.68e+00,4.60e+00
-0.1179,-8.00e-01,5.00e+00
-0.1177,-2.16e+00,3.60e+00
-0.1175,-2.08e+00,4.00e+00
-0.1173,-4.56e+00,2.60e+00
-0.1171,-4.40e+00,3.40e+00
-0.1169,-1.84e+00,5.00e+00
-0.1167,-1.92e+00,4.80e+00
-0.1165,-4.72e+00,2.60e+00
-0.1163,-5.12e+00,2.60e+00
-0.1161,-3.20e+00,4.60e+00
-0.1159,-3.20e+00,5.00e+00
-0.1157,-1.92e+00,3.40e+00
-0.1155,-2.96e+00,3.40e+00
-0.1153,-5.04e+00,2.40e+00
-0.1151,-4.72e+00,2.80e+00
-0.1149,-1.84e+00,4.60e+00
-0.1147,-1.76e+00,4.40e+00
-0.1145,-4.48e+00,2.20e+00
-0.1143,-4.80e+00,2.20e+00
-0.1141,-2.80e+00,4.20e+00
-0.1139,-2.88e+00,4.40e+00
-0.1137,-1.60e+00,2.80e+00
-0.1135,-2.64e+00,3.20e+00
-0.1133,-4.64e+00,2.00e+00
-0.1131,-4.40e+00,2.60e+00
-0.1129,-1.44e+00,4.20e+00
-0.1127,-1.44e+00,4.00e+00
-0.1125,-4.16e+00,2.00e+00
-0.1123,-4.56e+00,2.00e+00
-0.1121,-2.48e+00,3.80e+00
-0.1119,-2.48e+00,4.20e+00
-0.1117,-1.28e+00,2.20e+00
-0.1115,-2.24e+00,2.20e+00
-0.1113,-4.32e+00,8.00e-01
-0.1111,-4.08e+00,1.00e+00
-0.1109,-1.20e+00,2.20e+00
-0.1107,-1.12e+00,1.80e+00
-0.1105,-3.12e+00,-1.20e+00
-0.1103,-3.28e+00,-1.40e+00
-0.1101,-7.20e-01,2.00e-01
-0.1099,-8.00e-01,4.00e-01
-0.1097,8.00e-01,-1.60e+00
-0.1095,1.60e-01,-1.20e+00
-0.1093,-1.36e+00,-3.00e+00
-0.1091,-8.80e-01,-2.60e+00
-0.1089,2.48e+00,-1.20e+00
-0.1087,2.48e+00,-1.60e+00
-0.1085,4.00e-01,-4.20e+00
-0.1083,1.60e-01,-4.20e+00
-0.1081,2.80e+00,-2.60e+00
-0.1079,2.80e+00,-2.40e+00
-0.1077,4.32e+00,-4.00e+00
-0.1075,3.44e+00,-3.60e+00
-0.1073,1.60e+00,-5.00e+00
-0.1071,2.08e+00,-4.20e+00
-0.1069,5.28e+00,-2.40e+00
